Process Management,Memory Mangagement,File Systems,Device Management,Synchronization and Concurrency,overall
0.24,0.46,0.32,,,0.37
0.625,0.625,,0.8,,0.625
0.3,0.6,,0.75,,0.54
,0.7333333333333333,0.72,,0.8166666666666667,0.725
0.4,0.325,0.2,0.4,0.25,0.25
0.74,0.37272727272727274,,0.8666666666666667,0.5666666666666667,0.55
0.39375,0.35,,0.6124999999999999,,0.3625
0.9625,0.6857142857142857,,0.65,0.75,0.7633333333333333
0.55,0.43333333333333335,,,0.57,0.490625
,0.48717948717948717,0.5142857142857142,,,0.5189873417721519
0.6176470588235294,0.7,,,0.6133333333333333,0.6333333333333333
,0.6666666666666666,0.6326530612244898,,,0.6666666666666666
0.6666666666666666,0.47368421052631576,,0.25,,0.5
0.5701047115761005,0.541885819349613,0.4614755241504347,0.6659441233140656,0.6035064935064935,0.5503355704697986
