Code,Drawing/Chart,Math,Multiple Choice,Short Answer,overall
1.0,0.48,0.7733333333333333,,0.16,0.62
0.75,0.5833333333333334,0.5666666666666667,,0.67,0.675
0.25,,0.5625,,0.5333333333333333,0.54
0.7555555555555555,,0.65,,,0.755
,,0.43,,,0.455
0.48,,0.6,,0.7714285714285715,0.7522727272727273
,0.5125,0.4725,,,0.525
1.0,,0.1,,0.85,0.8033333333333333
0.66,0.2,0.36,,0.5923076923076923,0.609375
0.7272727272727273,0.6551724137931034,0.5925925925925926,0.6075949367088608,,0.6075949367088608
0.7,1.0,0.775,0.76,,0.76
,0.4,0.4666666666666667,0.6666666666666666,,0.6666666666666666
,1.0,0.35714285714285715,0.59375,,0.59375
0.7122638924322741,0.5745949048523114,0.5134054582973301,0.6884735202492211,0.6173779823779825,0.6575316927665921
